j._k._rowling_harry_potter 	NP 	J._K._Rowling_Harry_Potter
tabuleta 	NC 	tabuleta
onde 	RG 	onde
estar 	VMI 	estava
escrever 	VMP 	escrito
« 	Fra 	«
privet_drive 	NP 	Privet_Drive
» 	Frc 	»
- 	Fg 	-
não 	RN 	não
, 	Fc 	,
não 	RN 	não
ler 	VMI 	lia
, 	Fc 	,
olhar 	VMI 	olhava
, 	Fc 	,
o 	DA 	os
gato 	NC 	gatos
não 	RN 	não
poder 	VMI 	podem
ler 	VMN 	ler
mapa 	NC 	mapas
nem 	CC 	nem
tabuleta 	NC 	tabuletas
. 	Fp 	.
o 	DA 	O
senhor 	NC 	senhor
dursley 	NP 	Dursley
sacudir 	VMI 	sacudiu
o 	DA 	a
cabeça 	NC 	cabeça
para 	SP 	para
afastar 	VMN 	afastar
aquele 	DD 	aquele
episódio 	NC 	episódio
e 	CC 	e
, 	Fc 	,
enquanto 	RG 	enquanto
atravessar 	VMI 	atravessava
o 	DA 	a
cidade 	NC 	cidade
, 	Fc 	,
não 	RN 	não
pensar 	VMI 	pensou
senão 	RG 	senão
em 	SP 	em
o 	DA 	a
grande 	AQ 	grande
encomenda 	NC 	encomenda
de 	SP 	de
broca 	NC 	brocas
que 	PR 	que
esperar 	VMI 	esperava
receber 	VMN 	receber
em 	SP 	em
esse 	DD 	esse
mesmo 	PI 	mesmo
dia 	NC 	dia
. 	Fp 	.
mas 	CC 	Mas
, 	Fc 	,
a 	SP 	a
o 	DA 	a
saída 	NC 	saída
de 	SP 	de
o 	DA 	a
cidade 	NC 	cidade
o 	DA 	o
seu 	DP 	seu
espírito 	NC 	espírito
ir 	VMI 	foi
afastar 	VMP 	afastado
de 	SP 	de
o 	DA 	as
broca 	NC 	brocas
por 	SP 	por
outro 	DI 	outra
coisa 	NC 	coisa
. 	Fp 	.
enquanto 	RG 	Enquanto
esperar 	VMI 	esperava
em 	SP 	em
o 	DA 	o
habitual 	AQ 	habitual
engarrafamento 	NC 	engarrafamento
de 	SP 	de
trânsito 	NC 	trânsito
, 	Fc 	,
não 	RN 	não
poder 	VMI 	pôde
deixar 	VMN 	deixar
de 	SP 	de
reparar 	VMN 	reparar
que 	CS 	que
haver 	VMI 	havia
um 	DI 	uma
série 	NC 	série
de 	SP 	de
gente 	NC 	gente
vestir 	VMP 	vestida
de 	SP 	de
um 	DI 	uma
forma 	NC 	forma
muito 	RG 	muito
pouco 	RG 	pouco
usual 	AQ 	usual
. 	Fp 	.
gente 	NC 	Gente
cobrir 	VMP 	coberta
com 	SP 	com
longo 	AQ 	longas
capa 	NC 	capas
. 	Fp 	.
o 	DA 	O
senhor 	NC 	senhor
dursley 	NP 	Dursley
não 	RN 	não
suportar 	VMI 	suportava
o 	DA 	as
pessoa 	NC 	pessoas
que 	PR 	que
se 	PP 	se
arranjar 	VMI 	arranjavam
de 	SP 	de
modo 	NC 	modo
excêntrico 	AQ 	excêntrico
- 	Fg 	-
o 	DA 	as
figura 	NC 	figuras
de 	SP 	de
algum 	DI 	alguns
jovem 	NC 	jovens
! 	Fat 	!
- 	Fg 	-
e 	CC 	e
partir 	VMI 	partiu
de 	SP 	de
o 	DA 	o
princípio 	NC 	princípio
de 	SP 	de
que 	PR 	que
se 	PP 	se
tratar 	VMI 	tratava
de 	SP 	de
um 	DI 	uma
novo 	AQ 	nova
moda 	NC 	moda
estúpido 	AQ 	estúpida
. 	Fp 	.
tamborilar 	VMI 	Tamborilou
com 	SP 	com
o 	DA 	os
dedo 	NC 	dedos
em 	SP 	em
o 	DA 	o
volante 	NC 	volante
de 	SP 	de
o 	DA 	o
automóvel 	NC 	automóvel
e 	CC 	e
o 	DA 	os
olho 	NC 	olhos
prender 	VMI 	prenderam
se 	PP 	se
lhe 	PP 	lhe
em 	SP 	em
um 	DI 	um
de 	SP 	de
esse 	DD 	esses
grupo 	NC 	grupos
tumultuoso 	AQ 	tumultuosos
de 	SP 	de
exibicionista 	NC 	exibicionistas
. 	Fp 	.
murmurar 	VMI 	Murmuravam
entre 	SP 	entre
si 	PP 	si
, 	Fc 	,
transbordante 	AQ 	transbordantes
de 	SP 	de
entusiasmo 	NC 	entusiasmo
e 	CC 	e
o 	DA 	o
senhor 	NC 	senhor
dursley 	NP 	Dursley
ficar 	VMI 	ficou
ainda 	RG 	ainda
mais 	RG 	mais
irritar 	VMP 	irritado
a 	SP 	a
o 	DA 	o
constatar 	VMN 	constatar
que 	CS 	que
algum 	PI 	alguns
de 	SP 	de
ele 	PP 	eles
não 	RN 	não
ser 	VMI 	eram
de 	SP 	de
todo 	DI 	todo
jovem 	NC 	jovens
. 	Fp 	.
que 	CS 	Que
later 	VMS 	lata
, 	Fc 	,
aquele 	DD 	aquele
indivíduo 	NC 	indivíduo
dever 	VMI 	devia
ser 	VMN 	ser
mais 	RG 	mais
velho 	AQ 	velho
do_que 	CS 	do_que
ele 	PP 	ele
e 	CC 	e
usar 	VMI 	usava
um 	DI 	uma
longo 	AQ 	longa
capa 	NC 	capa
verde 	AQ 	verde
esmeralda 	NC 	esmeralda
! 	Fat 	!
mas 	CC 	Mas
, 	Fc 	,
nessa_altura 	RG 	nessa_altura
